,Country,Region
0,Algeria,AFRICA
1,Angola,AFRICA
2,Benin,AFRICA
3,Botswana,AFRICA
4,Burkina,AFRICA
5,Burundi,AFRICA
6,Cameroon,AFRICA
7,Cape Verde,AFRICA
8,Central African Republic,AFRICA
9,Chad,AFRICA
10,Comoros,AFRICA
11,Congo,AFRICA
12,"Congo, Democratic Republic of",AFRICA
13,Djibouti,AFRICA
14,Egypt,AFRICA
15,Equatorial Guinea,AFRICA
16,Eritrea,AFRICA
17,Ethiopia,AFRICA
18,Gabon,AFRICA
19,Gambia,AFRICA
20,Ghana,AFRICA
21,Guinea,AFRICA
22,Guinea-Bissau,AFRICA
23,Ivory Coast,AFRICA
24,Kenya,AFRICA
25,Lesotho,AFRICA
26,Liberia,AFRICA
27,Libya,AFRICA
28,Madagascar,AFRICA
29,Malawi,AFRICA
30,Mali,AFRICA
31,Mauritania,AFRICA
32,Mauritius,AFRICA
33,Morocco,AFRICA
34,Mozambique,AFRICA
35,Namibia,AFRICA
36,Niger,AFRICA
37,Nigeria,AFRICA
38,Rwanda,AFRICA
39,Sao Tome and Principe,AFRICA
40,Senegal,AFRICA
41,Seychelles,AFRICA
42,Sierra Leone,AFRICA
43,Somalia,AFRICA
44,South Africa,AFRICA
45,South Sudan,AFRICA
46,Sudan,AFRICA
47,Swaziland,AFRICA
48,Tanzania,AFRICA
49,Togo,AFRICA
50,Tunisia,AFRICA
51,Uganda,AFRICA
52,Zambia,AFRICA
53,Zimbabwe,AFRICA
54,Afghanistan,ASIA
55,Bahrain,ASIA
56,Bangladesh,ASIA
57,Bhutan,ASIA
58,Brunei,ASIA
59,Burma,ASIA
60,Cambodia,ASIA
61,China,ASIA
62,East Timor,ASIA
63,India,ASIA
64,Indonesia,ASIA
65,Iran,ASIA
66,Iraq,ASIA
67,Israel,ASIA
68,Japan,ASIA
69,Jordan,ASIA
70,Kazakhstan,ASIA
71,"Korea, North",ASIA
72,"Korea, South",ASIA
73,Kuwait,ASIA
74,Kyrgyzstan,ASIA
75,Laos,ASIA
76,Lebanon,ASIA
77,Malaysia,ASIA
78,Maldives,ASIA
79,Mongolia,ASIA
80,Nepal,ASIA
81,Oman,ASIA
82,Pakistan,ASIA
83,Philippines,ASIA
84,Qatar,ASIA
85,Russian Federation,ASIA
86,Saudi Arabia,ASIA
87,Singapore,ASIA
88,Sri Lanka,ASIA
89,Syria,ASIA
90,Tajikistan,ASIA
91,Thailand,ASIA
92,Turkey,ASIA
93,Turkmenistan,ASIA
94,United Arab Emirates,ASIA
95,Uzbekistan,ASIA
96,Vietnam,ASIA
97,Yemen,ASIA
98,Albania,EUROPE
99,Andorra,EUROPE
100,Armenia,EUROPE
101,Austria,EUROPE
102,Azerbaijan,EUROPE
103,Belarus,EUROPE
104,Belgium,EUROPE
105,Bosnia and Herzegovina,EUROPE
106,Bulgaria,EUROPE
107,Croatia,EUROPE
108,Cyprus,EUROPE
109,Czech Republic,EUROPE
110,Denmark,EUROPE
111,Estonia,EUROPE
112,Finland,EUROPE
113,France,EUROPE
114,Georgia,EUROPE
115,Germany,EUROPE
116,Greece,EUROPE
117,Hungary,EUROPE
118,Iceland,EUROPE
119,Ireland,EUROPE
120,Italy,EUROPE
121,Latvia,EUROPE
122,Liechtenstein,EUROPE
123,Lithuania,EUROPE
124,Luxembourg,EUROPE
125,Macedonia,EUROPE
126,Malta,EUROPE
127,Moldova,EUROPE
128,Monaco,EUROPE
129,Montenegro,EUROPE
130,Netherlands,EUROPE
131,Norway,EUROPE
132,Poland,EUROPE
133,Portugal,EUROPE
134,Romania,EUROPE
135,San Marino,EUROPE
136,Serbia,EUROPE
137,Slovakia,EUROPE
138,Slovenia,EUROPE
139,Spain,EUROPE
140,Sweden,EUROPE
141,Switzerland,EUROPE
142,Ukraine,EUROPE
143,United Kingdom,EUROPE
144,Vatican City,EUROPE
145,Antigua and Barbuda,NORTH AMERICA
146,Bahamas,NORTH AMERICA
147,Barbados,NORTH AMERICA
148,Belize,NORTH AMERICA
149,Canada,NORTH AMERICA
150,Costa Rica,NORTH AMERICA
151,Cuba,NORTH AMERICA
152,Dominica,NORTH AMERICA
153,Dominican Republic,NORTH AMERICA
154,El Salvador,NORTH AMERICA
155,Grenada,NORTH AMERICA
156,Guatemala,NORTH AMERICA
157,Haiti,NORTH AMERICA
158,Honduras,NORTH AMERICA
159,Jamaica,NORTH AMERICA
160,Mexico,NORTH AMERICA
161,Nicaragua,NORTH AMERICA
162,Panama,NORTH AMERICA
163,Saint Kitts and Nevis,NORTH AMERICA
164,Saint Lucia,NORTH AMERICA
165,Saint Vincent and the Grenadines,NORTH AMERICA
166,Trinidad and Tobago,NORTH AMERICA
167,United States,NORTH AMERICA
168,Australia,OCEANIA
169,Fiji,OCEANIA
170,Kiribati,OCEANIA
171,Marshall Islands,OCEANIA
172,Micronesia,OCEANIA
173,Nauru,OCEANIA
174,New Zealand,OCEANIA
175,Palau,OCEANIA
176,Papua New Guinea,OCEANIA
177,Samoa,OCEANIA
178,Solomon Islands,OCEANIA
179,Tonga,OCEANIA
180,Tuvalu,OCEANIA
181,Vanuatu,OCEANIA
182,Argentina,SOUTH AMERICA
183,Bolivia,SOUTH AMERICA
184,Brazil,SOUTH AMERICA
185,Chile,SOUTH AMERICA
186,Colombia,SOUTH AMERICA
187,Ecuador,SOUTH AMERICA
188,Guyana,SOUTH AMERICA
189,Paraguay,SOUTH AMERICA
190,Peru,SOUTH AMERICA
191,Suriname,SOUTH AMERICA
192,Uruguay,SOUTH AMERICA
193,Venezuela,SOUTH AMERICA
